source,target,covariance
R_subgenual_cortex,L_subgenual_cortex,0.7326768548084486
R_area_24a',R_area_24b',0.9044304213403188
R_caudal_medial_frontal_pole,L_caudal_medial_frontal_pole,0.7140134425944312
R_rostral_gyrus_rectus,L_rostral_gyrus_rectus,0.7900365945084822
R_caudal_gyrus_rectus,L_caudal_gyrus_rectus,0.780985833169424
R_anterior_olfactory_cortex,R_posterior_olfactory_cortex,0.7142384358646391
R_dorsal_periarcuate_area_8A,R_arcuate_sulcus_area_8B,0.7564428580243406
R_area_23a,R_area_23b,0.7929517623532713
R_area_29,R_area_30,0.8675427464353394
R_area_35,R_rostral_and_polar_area_36,0.7634502122763869
R_medial_rostrotemporal_belt_region,R_parainsula,0.7029951283904834
L_area_24a,L_area_24b,0.8015480316735569
L_area_24a',L_area_24b',0.8917152334164897
L_rostral_medial_frontal_pole,L_medial_area_11,0.7076270016973709
L_intermediate_agranular_insula_area,L_lateral_agranular_insula_area,0.7542797053278846
L_dorsal_periarcuate_area_8A,L_arcuate_sulcus_area_8B,0.7668783996826957
L_area_23a,L_area_23b,0.7384996664852677
L_area_23a,L_area_29,0.7280861542206016
L_area_29,L_area_30,0.7972540997343814
L_area_35,L_rostral_and_polar_area_36,0.7546963830440472
L_ventral_dysgranular_temporal_pole,L_ventral_granular_temporal_pole,0.7598966742327677
