,L_agranular_temporal_pole,L_arcuate_sulcus_area_8B,L_area_23a,L_area_24a,L_area_24a',L_area_24b,L_area_24b',L_area_29,L_area_30,L_area_35,L_area_TAa,L_area_TEm,L_area_TF,L_area_TH,L_caudal_gyrus_rectus,L_caudal_limiting_division_of_entorhinal_cortex,L_clearly_part_of_visual_area_2,L_dorsal_dysgranular_temporal_pole,L_dorsal_granular_temporal_pole,L_dorsal_periarcuate_area_8A,L_lateral_rostrotemporal_belt_region,L_medial_rostrotemporal_belt_region,L_parainsula,L_primary_visual_cortex,L_rostral_and_polar_area_36,L_rostral_core_region,L_rostral_gyrus_rectus,L_rostral_superior_temporal_gyrus,L_rostromedial_belt_region,L_rostrotemporal_core_region,L_sts_part_of_temporal_pole,L_temporal_parietooccipital_associated_area,L_ventral_dysgranular_temporal_pole,L_ventral_granular_temporal_pole,L_ventral_intraparietal_area,L_ventral_lateral_intraparietal_area,R_arcuate_sulcus_area_8B,R_area_23a,R_area_23b,R_area_24a,R_area_24a',R_area_24b,R_area_24b',R_area_29,R_area_30,R_area_35,R_area_45b,R_area_TF,R_area_TH,R_caudal_gyrus_rectus,R_caudal_limiting_division_of_entorhinal_cortex,R_dorsal_dysgranular_temporal_pole,R_dorsal_granular_temporal_pole,R_dorsal_periarcuate_area_8A,R_lateral_rostrotemporal_belt_region,R_medial_rostrotemporal_belt_region,R_middle_entorhinal_cortex,R_parainsula,R_rostral_and_polar_area_36,R_rostral_entorhinal_cortex,R_rostral_gyrus_rectus,R_rostrotemporal_core_region,R_ventral_periarcuate_area_8A
L_agranular_temporal_pole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479504944350303,0.0,0.7914904479131948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_arcuate_sulcus_area_8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7386344702633402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_area_23a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7253422138213466,0.7937448723368076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8165476619413328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_area_24a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_area_24a',0.0,0.0,0.0,0.0,0.0,0.0,0.8314906353652673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_area_24b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_area_24b',0.0,0.0,0.0,0.0,0.8314906353652673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709241377841773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_area_29,0.0,0.0,0.7253422138213466,0.0,0.0,0.0,0.0,0.0,0.8304458025758407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_area_30,0.0,0.0,0.7937448723368076,0.0,0.0,0.0,0.0,0.8304458025758407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_area_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
