source,target,covariance
R_area_32,R_caudal_medial_frontal_pole,1
R_area_24a,R_area_24b,1
R_area_24a',R_area_24b',1
R_caudal_medial_frontal_pole,L_caudal_medial_frontal_pole,1
R_rostral_gyrus_rectus,L_rostral_gyrus_rectus,1
R_visual_area_V6,R_ventral_visual_area_6A,1
R_area_23a,R_area_23b,1
R_area_23a,R_area_29,1
R_area_23a,L_area_23a,1
R_area_29,R_area_30,1
R_area_35,R_rostral_and_polar_area_36,1
R_anterior_lateral_belt_region,R_rostral_core_region,1
R_rostromedial_belt_region,R_rostral_core_region,1
R_medial_rostrotemporal_belt_region,R_rostrotemporal_core_region,1
L_area_24a,L_area_24b,1
L_ventral_intraparietal_area,L_ventral_lateral_intraparietal_area,1
L_medial_superior_temporal_area,L_middle_temporal_area,1
L_caudal_division_of_entorhinal_cortex,L_caudal_limiting_division_of_entorhinal_cortex,1
L_area_35,L_rostral_and_polar_area_36,1
L_agranular_temporal_pole,L_dorsal_dysgranular_temporal_pole,1
L_dorsal_dysgranular_temporal_pole,L_dorsal_granular_temporal_pole,1
L_temporal_parietooccipital_associated_area,L_area_TAa,1
L_temporal_parietooccipital_associated_area,L_rostromedial_belt_region,1
L_lateral_rostrotemporal_belt_region,L_rostrotemporal_core_region,1
L_caudomedial_belt_region,L_primary_auditory_cortex,1
L_rostromedial_belt_region,L_medial_rostrotemporal_belt_region,1
L_rostromedial_belt_region,L_rostral_core_region,1
L_rostromedial_belt_region,L_rostrotemporal_core_region,1
L_medial_rostrotemporal_belt_region,L_rostrotemporal_core_region,1
L_medial_rostrotemporal_belt_region,L_parainsula,1
