source,target,covariance
R_area_24a,R_area_24b,1
R_area_24a',R_area_24b',1
R_rostral_medial_frontal_pole,L_rostral_medial_frontal_pole,1
R_area_23a,R_area_23b,1
R_area_29,R_area_30,1
R_area_TH,R_caudal_limiting_division_of_entorhinal_cortex,1
R_area_35,R_rostral_and_polar_area_36,1
R_ventral_dysgranular_temporal_pole,R_ventral_granular_temporal_pole,1
L_area_24a,L_area_24b,1
L_area_24a',L_area_24b',1
L_ventral_intraparietal_area,L_ventral_lateral_intraparietal_area,1
L_area_23a,L_area_29,1
L_area_29,L_area_30,1
L_rostral_entorhinal_cortex,L_area_35,1
L_area_35,L_rostral_and_polar_area_36,1
L_agranular_temporal_pole,L_ventral_dysgranular_temporal_pole,1
L_ventral_dysgranular_temporal_pole,L_ventral_granular_temporal_pole,1
L_ventral_dysgranular_temporal_pole,L_sts_part_of_temporal_pole,1
L_ventral_granular_temporal_pole,L_sts_part_of_temporal_pole,1
L_medial_rostrotemporal_belt_region,L_parainsula,1
